day,date,steel_grade,target_thickness_mm,entry_temp_c,line_speed_mpm,rolling_force_ton,roll_gap_corr_mm,thickness_dev_mm,workroll_vib_mm_s,motor_current_a,hyd_pressure_bar,hyd_oiltemp_c,hyd_level_pct,days_to_next_roll_change,post_maintenance_result
1,2026-06-01,SS400,3.2,1188.2,763.0,1654.2,0.088,0.026,2.23,213.6,152.2,44.3,88.6,66.0,롤 표면 마모 확인
2,2026-06-02,SS400,3.2,1180.4,749.6,1663.7,0.091,0.03,2.3,214.6,150.8,44.1,88.6,65.0,롤 표면 마모 확인
3,2026-06-03,SPHC,2.0,1182.5,847.5,1546.4,0.126,0.023,2.23,206.9,153.1,44.0,88.8,64.0,롤 표면 마모 확인
4,2026-06-04,SPHC,2.0,1182.3,849.4,1571.7,0.09,0.024,2.33,207.8,153.0,44.4,88.8,63.0,롤 표면 마모 확인
5,2026-06-05,SPHC,2.0,1176.6,820.5,1622.4,0.11,0.039,2.18,206.3,151.8,44.8,87.9,62.0,롤 표면 마모 확인
6,2026-06-06,SPHC,2.0,1188.4,827.0,1547.5,0.089,0.025,2.23,207.4,152.3,44.1,87.7,61.0,롤 표면 마모 확인
7,2026-06-07,SPHC,2.0,1181.7,841.3,1509.8,0.111,0.026,2.44,204.4,150.1,43.6,88.9,60.0,롤 표면 마모 확인
8,2026-06-08,SPHC,2.0,1185.1,836.8,1557.2,0.105,0.037,2.4,203.6,151.1,44.3,88.9,59.0,롤 표면 마모 확인
9,2026-06-09,SS400,3.2,1188.4,759.8,1654.3,0.098,0.042,2.2,213.0,151.8,43.6,88.1,58.0,롤 표면 마모 확인
10,2026-06-10,SS400,3.2,1188.1,751.5,1664.1,0.1,0.025,2.13,211.6,151.1,43.8,87.8,57.0,롤 표면 마모 확인
11,2026-06-11,SS400,3.2,1189.7,768.8,1686.2,0.092,0.029,2.05,213.1,152.6,44.0,88.5,56.0,롤 표면 마모 확인
12,2026-06-12,SPHC,2.0,1184.3,847.8,1502.0,0.105,0.031,2.32,203.4,153.6,43.6,88.8,55.0,롤 표면 마모 확인
13,2026-06-13,SPHC,2.0,1182.0,840.7,1550.6,0.095,0.037,2.52,206.5,151.1,43.6,89.1,54.0,롤 표면 마모 확인
14,2026-06-14,SPHC,2.0,1184.4,851.3,1567.7,0.085,0.026,2.39,208.5,151.3,44.6,88.7,53.0,롤 표면 마모 확인
15,2026-06-15,SPHC,2.0,1173.2,844.7,1571.9,0.085,0.029,2.31,202.9,152.2,44.1,88.4,52.0,롤 표면 마모 확인
16,2026-06-16,SPHC,2.0,1174.9,831.4,1639.6,0.102,0.033,2.37,207.5,153.3,43.1,88.2,51.0,롤 표면 마모 확인
17,2026-06-17,SPHC,2.0,1175.7,843.7,1607.4,0.119,0.032,2.24,204.3,151.0,44.7,88.5,50.0,롤 표면 마모 확인
18,2026-06-18,SAPH440,4.5,1123.0,640.4,2153.5,0.102,0.028,2.09,232.9,152.2,43.6,88.4,49.0,롤 표면 마모 확인
19,2026-06-19,SAPH440,4.5,1132.8,658.8,2067.2,0.099,0.029,2.14,230.1,153.5,43.3,88.1,48.0,롤 표면 마모 확인
20,2026-06-20,SAPH440,4.5,1123.7,649.5,2149.3,0.103,0.025,2.11,228.7,150.7,43.0,89.2,47.0,롤 표면 마모 확인
21,2026-06-21,SAPH440,4.5,1127.4,648.2,2136.5,0.116,0.029,2.17,233.4,151.0,43.9,89.1,46.0,롤 표면 마모 확인
22,2026-06-22,SAPH440,4.5,1139.1,643.2,2054.5,0.103,0.029,2.13,229.0,151.7,43.7,88.9,45.0,롤 표면 마모 확인
23,2026-06-23,SPHC,2.0,1182.5,852.2,1568.8,0.095,0.031,2.41,204.4,151.6,45.4,88.2,44.0,롤 표면 마모 확인
24,2026-06-24,SPHC,2.0,1190.2,838.5,1529.9,0.113,0.028,2.3,202.7,152.7,44.5,88.8,43.0,롤 표면 마모 확인
25,2026-06-25,SPHC,2.0,1178.5,835.7,1562.4,0.105,0.032,2.4,204.1,152.2,44.5,88.7,42.0,롤 표면 마모 확인
26,2026-06-26,SPHC,2.0,1183.6,836.5,1553.8,0.118,0.034,2.46,205.8,150.6,44.2,88.7,41.0,롤 표면 마모 확인
27,2026-06-27,SS400,3.2,1178.3,765.3,1700.8,0.102,0.031,2.19,214.7,152.4,44.4,88.9,40.0,롤 표면 마모 확인
28,2026-06-28,SS400,3.2,1182.6,763.7,1691.9,0.085,0.031,2.19,215.4,151.5,44.3,88.7,39.0,롤 표면 마모 확인
29,2026-06-29,SS400,3.2,1190.9,764.1,1664.4,0.084,0.03,2.35,214.9,153.0,44.6,88.8,38.0,롤 표면 마모 확인
30,2026-06-30,SPHC,2.0,1172.9,844.3,1586.4,0.12,0.03,2.34,208.1,151.5,44.1,88.7,37.0,롤 표면 마모 확인
31,2026-07-01,SPHC,2.0,1188.0,861.4,1531.1,0.121,0.027,2.47,204.0,151.5,44.2,88.6,36.0,롤 표면 마모 확인
32,2026-07-02,SPHC,2.0,1186.7,835.9,1578.4,0.098,0.031,2.31,202.9,152.4,44.1,87.9,35.0,롤 표면 마모 확인
33,2026-07-03,SPHC,2.0,1180.8,834.9,1553.0,0.095,0.03,2.44,207.0,152.6,44.7,88.5,34.0,롤 표면 마모 확인
34,2026-07-04,SPHC,2.0,1174.9,831.9,1582.1,0.118,0.038,2.35,205.0,152.4,45.0,88.3,33.0,롤 표면 마모 확인
35,2026-07-05,SPHC,2.0,1185.5,846.2,1552.4,0.087,0.036,2.37,207.1,150.7,44.1,88.1,32.0,롤 표면 마모 확인
36,2026-07-06,SS400,3.2,1181.3,771.3,1710.4,0.089,0.032,2.37,215.9,152.4,43.9,89.1,31.0,롤 표면 마모 확인
37,2026-07-07,SS400,3.2,1186.6,758.9,1661.8,0.108,0.027,2.22,214.0,151.2,44.1,89.1,30.0,롤 표면 마모 확인
38,2026-07-08,SS400,3.2,1185.2,751.6,1702.4,0.095,0.026,2.17,215.7,152.2,43.9,89.0,29.0,롤 표면 마모 확인
39,2026-07-09,SPHC,2.0,1196.2,831.8,1513.1,0.1,0.035,2.3,207.8,150.9,44.7,88.6,28.0,롤 표면 마모 확인
40,2026-07-10,SPHC,2.0,1183.3,846.5,1579.8,0.098,0.031,2.39,209.3,152.4,43.3,89.0,27.0,롤 표면 마모 확인
41,2026-07-11,SPHC,2.0,1177.8,847.4,1605.3,0.12,0.034,2.26,206.4,151.4,44.0,88.5,26.0,롤 표면 마모 확인
42,2026-07-12,SPHC,2.0,1186.3,845.4,1610.1,0.149,0.027,2.43,206.8,151.0,44.0,88.6,25.0,롤 표면 마모 확인
43,2026-07-13,SPHC,2.0,1186.5,833.3,1549.6,0.15,0.04,2.35,207.4,152.6,43.2,88.1,24.0,롤 표면 마모 확인
44,2026-07-14,SPHC,2.0,1194.5,842.3,1467.4,0.172,0.041,2.5,202.5,152.2,43.9,88.6,23.0,롤 표면 마모 확인
45,2026-07-15,SS400,3.2,1190.8,761.2,1700.9,0.156,0.037,2.17,216.5,151.5,43.6,88.5,22.0,롤 표면 마모 확인
46,2026-07-16,SS400,3.2,1187.5,762.2,1671.0,0.196,0.041,2.3,215.4,153.2,43.9,88.0,21.0,롤 표면 마모 확인
47,2026-07-17,SS400,3.2,1195.2,768.7,1649.0,0.203,0.047,2.26,215.8,151.6,44.5,88.5,20.0,롤 표면 마모 확인
